gene,RRH109,RRH110,RRH111,RRH115,RRH116,RRH117,RRH121,RRH122,RRH123
ENSRNOG00000000008,0.238671386,0.293002993,0.134298512,0.06950056,0.043708477,0.21834081,0.15145552,0.247578882,0.034556572
ENSRNOG00000000012,0.123261368,0.229273968,0.115597004,0,0.075243856,0,0.208583748,0.150425443,0.237955647
ENSRNOG00000000014,4.476019483,5.317692614,4.874750251,6.411919564,6.346098846,7.2648646,3.939884416,3.83251489,4.599210117
ENSRNOG00000000017,2.399112892,1.62158533,2.043956485,6.297385173,4.517316419,4.791357701,1.865504666,3.19586447,1.467722278
ENSRNOG00000000021,20.3246815,16.12094551,12.04852712,11.92607563,14.2846818,13.83620972,14.81712869,15.74086739,15.64876182
ENSRNOG00000000024,12.41762045,11.77324019,11.33519245,17.45646759,14.18620041,14.60044577,11.06650446,11.40127064,13.35753559
ENSRNOG00000000028,26.9620105,24.31742819,23.48466062,26.47523158,22.14034173,22.31709959,28.35002444,21.4018438,27.17876036
ENSRNOG00000000029,70.83966802,78.32030434,57.77072958,15.24874186,18.34976332,13.76678357,23.36316491,29.40315909,29.98357132
ENSRNOG00000000033,6.455329404,7.16552084,5.226421712,6.871667207,7.622511584,8.204963728,6.57930208,5.943878142,7.211592938
ENSRNOG00000000034,3.620265455,3.644240976,3.614844873,1.963730081,1.559971997,1.428655382,4.819908224,2.061776154,4.789458919
ENSRNOG00000000036,0.293205631,0.256091988,0.179330981,0.528989781,0.6770298,0.466486439,0.501557711,0.163353365,0.406066767
ENSRNOG00000000040,9.448649388,10.16536164,10.59420419,8.128186827,9.784573311,9.619931883,7.615089221,5.345554446,8.194829172
ENSRNOG00000000041,0.076866605,0,0.015447226,0.015988128,0,0.025113904,0,0.023451575,0.063596021
ENSRNOG00000000042,36.24608173,48.43995099,56.36951545,41.4740311,54.1425571,45.18086718,42.24752769,37.3768284,41.4028419
ENSRNOG00000000043,30.205035,32.31202319,34.817543,18.80327093,21.92283076,18.8202891,32.79091044,28.69106116,34.4584193
ENSRNOG00000000044,14.01002365,18.23746335,15.88764837,16.77351006,16.80754931,17.54779236,20.92630363,17.85020017,18.90838029
ENSRNOG00000000047,29.76889861,25.80101485,25.23428008,23.96060761,21.50005405,21.41814172,30.73323637,29.47615102,33.53799765
ENSRNOG00000000048,18.79898816,20.30260626,22.18644806,19.24552177,21.99927153,19.15058607,19.3977111,19.20525253,18.77186389
ENSRNOG00000000053,0.489980006,0.984305426,1.206222046,0.392372896,0.785148361,0.392212086,0.466395519,0.597960745,0.851314246
ENSRNOG00000000054,23.80841848,20.31907782,13.84877834,15.57816205,12.78608914,16.15628117,22.38797574,14.84809573,19.68099018
ENSRNOG00000000060,0.078909571,0.242181737,0.111004487,0.114891429,0.054190888,0.180469681,0.037555686,0.018056155,0.028562748
ENSRNOG00000000062,24.49869215,25.88072112,23.4957171,26.61771881,26.8877689,28.11240915,23.20211782,28.26561694,20.9282906
ENSRNOG00000000064,446.3191774,378.524725,397.5316069,468.1354091,367.9930151,388.4999315,476.8755081,460.5964157,439.1519471
ENSRNOG00000000066,14.87329055,15.95955809,12.43845456,14.76139255,18.36678826,16.22775629,15.25707282,11.85645542,13.94811633
ENSRNOG00000000068,43.2710392,44.19301452,38.07466807,55.99042329,53.33407163,53.06856641,59.6791978,47.68983485,56.16902509
ENSRNOG00000000070,9.569387816,8.350212878,9.323933507,10.70624429,13.40412689,13.70175801,9.676464954,11.0745057,8.242501608
ENSRNOG00000000073,8.945646594,9.128656606,8.875444563,15.2721038,15.20631696,13.50196851,10.85294888,14.83566419,8.939270698
ENSRNOG00000000075,7.600355613,8.787146509,8.046993015,9.486840141,10.09327738,8.342057876,8.259286708,8.039905499,8.142750207
ENSRNOG00000000081,47.46591266,54.07672988,59.58215893,51.98653931,59.10519697,58.05617021,52.07082798,53.72229443,55.43756005
ENSRNOG00000000082,40.76863058,48.63821718,43.49688578,74.14542402,68.100982,61.03883967,56.69998623,58.16964448,50.45024415
ENSRNOG00000000091,7.254532084,7.782743689,3.844905742,7.456987145,7.391174722,7.945194683,5.948971401,0.802717284,4.734033546
ENSRNOG00000000095,23.27689838,25.18292478,23.04708742,22.0140278,22.80763572,26.7490287,29.16288008,21.97796787,30.10887579
ENSRNOG00000000096,0.06197464,0.023055353,0,0.135351547,0.037831893,0.047246248,0.104873919,0.031513532,0.209373202
ENSRNOG00000000098,32.73354666,37.7623431,31.92824867,52.50313049,55.76834343,51.125999,37.05662638,63.87623533,35.17394384
ENSRNOG00000000104,21.39156524,22.15006132,15.96948766,21.26521055,21.70883363,24.37341875,21.2562688,18.02430606,21.69176146
ENSRNOG00000000105,6.998292559,6.085995605,7.09586274,4.300734982,4.493972899,5.092628807,8.276334233,7.334345576,8.092948565
ENSRNOG00000000108,40.26608072,46.10068168,34.27909416,22.33889011,21.61352505,18.97377913,34.3849997,35.97586471,37.34224983
ENSRNOG00000000111,11.44246375,10.6971368,7.734663035,7.680953303,8.436374104,9.516153099,7.732633444,8.500890378,9.144249047
ENSRNOG00000000112,12.55835397,12.59803642,13.18481978,13.36313055,14.74450211,14.50131772,12.4868923,12.68827571,12.39877626
ENSRNOG00000000113,2.846763075,2.888269101,3.357415383,2.239896046,2.830478851,2.170224383,2.828346272,1.737063295,2.831100835
ENSRNOG00000000121,3.826244701,4.667026539,3.762982886,3.524993263,4.123644895,5.227242399,4.694944796,3.713877,4.020114714
ENSRNOG00000000122,36.5258478,32.43875435,35.16720103,51.94613234,42.6291024,46.10469553,33.86528728,34.48955686,37.92964894
ENSRNOG00000000123,14.55729488,13.29258723,13.37792855,16.22131511,15.10496241,16.54100794,15.76078427,14.291194,16.39825566
ENSRNOG00000000127,33.38472587,34.22770887,33.23725022,46.20704495,48.18945986,44.01018413,39.45297245,38.31545287,39.6861895
ENSRNOG00000000129,9.826585412,13.45547345,23.39337141,32.69606747,39.463575,40.59696741,5.620152587,19.60639185,6.31123607
ENSRNOG00000000130,14.57642064,13.73329304,23.38260346,44.79129637,45.20308887,51.57092463,13.75726567,72.79133087,14.15537242
ENSRNOG00000000133,44.16661647,36.81385358,39.04072134,47.21937067,42.40207428,43.34224522,45.83973127,43.01352306,48.85047545
ENSRNOG00000000137,0.437350575,0.292859939,0.307617161,0.286549838,0,0,0.222026309,0.400299714,0.379936701
